STATE,BLOODBANKS.NO,BLOODBANK_DETAILS,,,
ANDAMAN & NICOBAR,1,"M/s G.B Pant Hospital, Atlanta Point, Port Blair-744104",,,
ANDAMAN & NICOBAR,2,"M/s  I.N.H.S. Dhanvantri, Minni Bay, Port Blair-744103",,,
ANDAMAN & NICOBAR,3,"M/s  Pillar  Health  Centre,  Lamba  Line,  P.B.  No.526,  P.O.-
Junglighat, Port Blair-744103",,,
ANDHRA PRADESH,1,"A.P.Vidya  Vidhana  Parishad  Community  Hospital  Blood
Bank, Hospital Road, Gudur-524101, Nellore Dist.",,,
ANDHRA PRADESH,2,"A.S.N. Raju Charitable Trust Blood Bank, Door No. 24-1-1,
R.K.  Plaza  (Sarovar  Complex),  J.P.  Road,  Bhimavaram, West Godavari Dist.",,,
ANDHRA PRADESH,3,"Alluri Sita Rama Raju Acadamy of Medical Sciences Blood
Bank,  Ground Floor, Hospital Block, NH5, ELURU-4,",,,
ANDHRA PRADESH,4,"Anil   Neerukunda   Hospital   Blood   Bank,   Sangi   Valasa,
Bheemunipatnam (M), Visakhapatnam",,,
ANDHRA PRADESH,5,"Apollo  Hospitals  Entps.  Ltd.,  Apollo  Hospitals  Heart  &
Kidney Centre Blood Bank,    # 10-50-80, Heart & Kidney Center, 1st Floor, Waltair Main Road, Visakhapatnam",,,
ANDHRA PRADESH,6,"APVVP    Area    Hospital    Blood    Bank,    Area    Hospital
Premises, Ground Floor, Proddutur.",,,
ANDHRA PRADESH,7,"APVVP    Area    Hospital    Blood    Bank,    Area    Hospital
Premises, Muddanoor Road, Pulivendla, Kadapa",,,
ANDHRA PRADESH,8,"APVVP   Area   Hospital   Blood   Bank,   Kavali,   S.P.S.R
Nellore.",,,
ANDHRA PRADESH,9,"APVVP  Community  Hospital  Blood  Bank,  Area  Hospital
Premises, Madanapally, Chittoor.",,,
ANDHRA PRADESH,10,"APVVP   District   Hospital   Blood   Bank,   Ground   Floor,
Hospital Premises, Chenchupeta, Tenali-2,",,,
ANDHRA PRADESH,11,"APVVP NT Rama Rao Vaidyalayam Blood Bank, Poolbagh
Road, Anakapalli, Visakhapatnam",,,
ANDHRA PRADESH,12,"APVVP, Area Hospital Blood Bank, Nuzvid, Krishna dt.",,,
ANDHRA PRADESH,13,"Area Hospital Blood Bank, Near Black Bridge, Moberlipeta,
Amalapuram-1,",,,
ANDHRA PRADESH,14,"Arogyavaram  Medical  Centre  Blood  Bank,  Ground  Floor, D.No.    16-1,    Bartons    Laboratory,    AMC    Sanitorium,
Arogyavaram, Chittor.",,,
ANDHRA PRADESH,15,"AS  Raja  Voluntary  Blood  Bank,  D.No.  10-50-11/7,  1st
Floor, Virasi Centre, Waltair Main Road, Visakhapatnam",,,
ANDHRA PRADESH,16,"ASN  Raju  Charitable  Trust  Blood  Bank,  H.No.  15-5-4  &
16, I st & II nd Floor, Sri Satya Sai Complex, Bank Street, Palakollu.",,,
ANDHRA PRADESH,17,"Aswini   Hospital   Blood   Bank,   Ground   Floor,   Aswini
Hospital Premises, TTD, Tirumala.",,,
ANDHRA PRADESH,18,"Belif Blood Bank, Sai Complex III Floor, Addanki Bus Stop
Centre, Kurnool Road, Ongole-523002.",,,
ANDHRA PRADESH,19,"Best   Rotary   Blood   Bank,   D.No.   22-6-54,   1st   Floor,
Sarojininaidu Sreet, Kothapet, Tenali-522 201.",,,
ANDHRA PRADESH,20,"Bethesda   Blood   Bank   (A   Unit   of   Bethesda   Homes
Voluntary  Organisation),    D.No.  29-10-2,  Ground  Floor, Narasimharao Naidu Street, Suryaraopet,  Vijayawada",,,
ANDHRA PRADESH,21,"Bhimavaram  Hospitals  Limited  Blood  Bank,     #  64/6A,
6B/7A   &   7B,   I   st   Floor,   Opp.   SRKR   Eng.   Col., Juvvalapalem Road,",,,
ANDHRA PRADESH,22,"Blessed  Blood  Bank,  D.No.  5-1-45/1,  2nd  Floor,  Vijaya Hights    Building,    Palnadu    Road,    Narsaraopet-522601,
Guntur.",,,
ANDHRA PRADESH,23,"Blood  Bank  Aayush  Hospitals,  Aayush  NRI  LEPL  Health Care  Pvt.  Ltd.,  First  Floor,  D.  No.  40-13-3  &  3A,  Ring
Road,   Sri   Ramachandra   Nagar,   Vijayawada-520   008, Krishna Dist., AP",,,
ANDHRA PRADESH,24,"Boga      Parvathamma      Memorial      Donation      Service Organisation,  D.No.  7-137,  Jayanagar  Colony,  Kadapa  ?
516 002.",,,
ANDHRA PRADESH,25,"Chaitanya Blood Bank, D.No.40-9/1-26, Vasavya Complex, 1st   floor,   Vasavya   Nagar,   Benz   circle,   Vijayawada-10,
Andhra Pradesh",,,
ANDHRA PRADESH,26,"Dhanwantari Voluntary Blood  Bank  & Blood  Components (A Division of Dhanwantari Charitable Trust), D.No. 46-21- 1, 2nd Floor & Part of 3rd Floor, Opp. Godavari Grameena
Bank, Danavaipet, Rajumandry, East Godavari",,,
ANDHRA PRADESH,27,"Dist.   Head   Quarters   Hospital   Blood   Bank,   1   st   Floor, APVVP     District     Head     Quarters     Hospital,     Ongole,
Prakasham Dist., AP",,,
ANDHRA PRADESH,28,"District   Co-ordinator   of   Hospital   Services   Blood   Bank
Ground Floor, District Hospital Premises, Machilipatnam",,,
ANDHRA PRADESH,29,"District  Head   Quarter   Hospital  Blood   Bank,   1st  Floor,
District Head Quarter Hospital Premises, Chittoor",,,
ANDHRA PRADESH,30,"District  Head  Quarter  Hospital  Blood  Bank,  Govt.  Dist. Hospital      Premises,      Ground      Floor,      Cantonment,
Vizianagaram",,,
ANDHRA PRADESH,31,"District  Hospital  Blood  Bank,   1st  Floor,  District  Hospital
Premises, Rajamundry",,,
ANDHRA PRADESH,32,"Dr. Anji Reddy Multispeciality Hospitals Pvt Ltd, D. No. 7-
320, Piduguralla, Guntur Dist. A.P - 522413",,,
ANDHRA PRADESH,33,"Dr.  Pinnamaneni  Siddartha  Inst.  of  Medical  Sci.  &  Res. Foundation Blood Bank, Siddhartha Nagar Chinoutpalli (V),
Gannavaram Mandal, Krishna dt.",,,
ANDHRA PRADESH,34,"DSR  District  Government  Head  Quarter  Hospital  Blood Bank,  Government  Head  Quarter  Hospital  Premises,  Ist
Floor, Nellore",,,
ANDHRA PRADESH,35,"Fathima    Institute    of    Medical    Sciences    Blood    Bank,
Ramrajupally, Pulivendala Road, Kadapa-516 390",,,
ANDHRA PRADESH,36,"GMR Varalakhsmi Care Hospital Blood Bank, GMR nagar,
Rajam, Srikakulam (Dist), 532127- AP.",,,
ANDHRA PRADESH,37,"Good   Samaritan   Blood   Bank,   H.   No.   13-1/1,   Good Samaritan  Cancer  and  General  Hospital,  Vangayagudem,
Eluru, West Godavari",,,
ANDHRA PRADESH,38,"Govenment   District   Hospital   Blood   Bank,   First   Floor,
APVVP District Hospital Premises, Nandyal, Kurnool",,,
ANDHRA PRADESH,39,"Government   Area   Hospital   Blood   Bank,   Area   Hospital
Premises, Ist Floor, Gudivada, Krishna dt.",,,
ANDHRA PRADESH,40,"Government    General    Hospital    Blood    Bank    (Medical University  General  Hospital  Blood  Bank),  Ground  Floor,
Government    General    Hospital    Premises,    Hanumanpet, Vijayawada",,,
ANDHRA PRADESH,41,"Government  General  Hospital  Blood  Bank,    First  Floor,
Government General Hospital Premises, Kurnool",,,
